"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"LEAD_FREE";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PACKAGE_IDENT";"MOUSER_PART_NUMBER";"MP";"MPN";"PACKAGE";"POPULARITY";"PREFIX";"PRICE";"PURCHASE-URL";"ROHS";"SOURCELIBRARY";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VENDOR";"VOLTAGE";
"4";"";"JP1E";"JP1";"JP1, JP2, JP4, JP5";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"61";"";"";"";"";"";"";"";"";"";"";
"3";"0.1uF";"C-EUC0805K";"C0805K";"C8, C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";"";"";
"2";"100nF";"C-EUC0805K";"C0805K";"C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";"";"";
"1";"10k";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"";"R";"";"";"";"";
"2";"10uF";"C-EUC0805K";"C0805K";"C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";"";"";
"2";"330";"R-US_R0805";"R0805";"R1, R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"";"R";"";"";"";"";
"2";"4700pF";"C-EUC0805K";"C0805K";"C2, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";"";"";
"1";"ADXL327BCPZ-RL7CP_16_5A_ADI-M";"ADXL327BCPZ-RL7CP_16_5A_ADI-M";"CP_16_5A_ADI-M";"U2";"";"";"EMA_UL_Team";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"ADXL327BCPZ-RL7";"";"";"";"";"";"";"";"";"";"";"";"Analog_2019-03-08";"";"";"";"Analog Devices Inc";"";
"1";"AVR-ISP";"AVR-ISP";"AVR-ISP";"U$1";"Check prices";"Bad";"";"";"";"";" Emulators / Simulators AVR USB IN CIRCUIT EMUL/PRGMR ISP ";"";"";"";"";"Gravitech";"";"";"AVR-ISP";"";"None";"";"";"None";"";"";"";"";"";"";"";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$2, U$3";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MICROCHIP_ATMEGA328PB-AUMICROCHIP_ATMEGA328PB-AU_0_0";"MICROCHIP_ATMEGA328PB-AUMICROCHIP_ATMEGA328PB-AU_0_0";"MICROCHIP_ATMEGA328PB-AU_0";"328PB";"ATmega328PB Summary Datasheet";"";"";"No";"";"http://ww1.microchip.com/downloads/en/DeviceDoc/40001907A.pdf";"";"IC MCU 8BIT 32KB FLASH 32TQFP";"ATMEGA328PB-AU-ND";"yes";"";"Microchip";"32A";"556-ATMEGA328PB-AU";"";"ATmega328PB-AU";"TQFP32";"";"U";"";"";"yes";"";"";"+85°C";"-40°C";"";"5.5V";
"1";"TLV1117-33IDCY";"TLV1117-33IDCY";"SOT230P700X180-4N";"U1";"Check prices";"Good";"";"";"";"";" 800-mA, 15-V, linear voltage regulator 4-SOT-223 -40 to 125 ";"";"";"";"";"Texas Instruments";"";"";"TLV1117-33IDCY";"";"SOT-223-4 Texas Instruments";"";"";"None";"https://pricing.snapeda.com/search/part/TLV1117-33IDCY/?ref=eda";"";"";"";"";"";"";"";
"2";"U57X32";"U57X32";"U57X32";"GREEN, RED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";
